Summary,Issue Type,Priority,Description,Acceptance Criteria,Labels
"[TKT-001] Fix broken test pipeline (npm test fails)","Bug","High","`npm test` fails because `jest` executable is missing despite scripts in package.json (lines 13-14).","`npm test` runs locally and in CI | Jest is installed/configured | At least one app-level test suite exists outside node_modules","audit,testing,ci"
"[TKT-002] Remove sensitive logging of auth/user payloads","Bug","High","Auth/admin flows log sensitive payload fields (including password-bearing payload objects) in multiple files (e.g., lib/services/api/admin.ts, lib/context/auth-context.tsx).","No password/token/PII payload logging in production | Debug logging gated by `__DEV__` | Sensitive fields redacted","audit,security,logging"
"[TKT-003] Disable hardcoded mock mode in production API modules","Bug","High","Critical modules are hardcoded with `USE_MOCK = true` (billing, visitors, maintenance-scheduler, broadcast, parcels), bypassing real backend calls.","Mock mode is environment-driven | Production defaults to real APIs | Smoke tests confirm live endpoints are used","audit,api,mock-data"
"[TKT-004] Reconnect requests context to backend APIs","Bug","High","Requests context has API integration commented out and TODO placeholders; operations rely on local storage/mock behavior (lib/context/requests-context.tsx).","Requests load/create/update/delete/comment operations persist via backend | Local storage is cache only | Data survives app restart and cross-device consistency","audit,requests,api"
"[TKT-005] Remove insecure HTTP fallback endpoints","Bug","High","APP_CONFIG uses HTTP fallback URLs (`http://13.50.241.81/api`), creating plaintext transport risk if env vars are missing.","All API fallbacks use HTTPS only | No plaintext HTTP defaults remain | Startup validates missing required env vars","audit,security,network"
"[TKT-006] Stop sending socket auth token in query string","Bug","High","Notification socket fallback appends auth token in URL query (`token=`), increasing leakage risk via logs/proxies.","Token is sent only via secure auth payload/headers | Query-string token path removed | Socket auth still supports fallback without URL token","audit,security,websocket"
"[TKT-007] Correct timeout error classification in BaseApiService","Bug","Medium","Timeouts trigger `AbortError` but are reported as `CANCELLED`, misclassifying network timeout behavior and retry logic.","Timeout errors return TIMEOUT code/message | User cancellation remains distinct | Retry policy uses correct classification","audit,api,error-handling"
"[TKT-008] Fix Expo config schema violation in app.json","Bug","Medium","`expo-doctor` reports schema error: android contains unsupported `usesCleartextTraffic` key in app.json.","`expo-doctor` schema checks pass | Cleartext setting moved to supported native/plugin config if needed","audit,expo,config"
"[TKT-009] Align dependencies with Expo SDK patch requirements","Task","Medium","`expo-doctor` flags version drift for expo/expo-constants/expo-font/expo-router and warns against direct `@types/react-native` install.","All dependency checks pass in `expo-doctor` | Required package versions aligned with SDK | `@types/react-native` removed","audit,dependencies,expo"
"[TKT-010] Add role guard to building employee layout","Bug","Medium","Building employee tab layout lacks auth/role guard in route layout (app/(buildingEmployee)/_layout.tsx), increasing deep-link access risk.","Unauthorized users are redirected before rendering protected screens | Deep links enforce role checks consistently","audit,auth,authorization"
"[TKT-011] Fix visitor pass permission logic/message mismatch","Bug","Medium","Code permits only management role but error message says management or admin can create visitor passes (lib/context/modules/property.ts).","Behavior and message are aligned | If admin is allowed, permission checks/tests updated | If not allowed, message corrected","audit,authorization,logic"
"[TKT-012] Resolve stale hook dependency warnings in modal screens","Bug","Medium","Lint reports React hook dependency warnings in modal screens (`request-details`, `conversation-detail`) indicating potential stale closures.","`npm run lint` has zero hook dependency warnings | Modal state updates are deterministic under rerenders","audit,react-hooks,stability"
"[TKT-013] Standardize status mapping across building employee screens","Bug","Medium","Status mapping rules differ between building employee dashboard and jobs screens, leading to inconsistent UI state interpretation.","A shared status-mapping utility is used across screens | Same backend status maps to same UI status everywhere","audit,consistency,building-employee"
"[TKT-014] Restore or formally defer TypeScript strict mode","Task","Medium","Repository docs claim strict mode, but tsconfig has `strict: false`.","Either strict mode is enabled and passing, or docs include an approved migration plan with tracked debt tickets","audit,typescript,tech-debt"
"[TKT-015] Update README to match actual project structure","Task","Low","README documents `src/` structure, but repository currently has no `src/` directory.","README structure reflects current code layout (`app/`, `lib/`, etc.) | Onboarding instructions remain accurate","audit,documentation"
"[TKT-016] Normalize encoding and remove mojibake text artifacts","Task","Low","Several files show encoding artifacts/misrendered characters in docs/logs/UI strings.","Files are UTF-8 normalized | No mojibake appears in UI strings/docs/log output","audit,quality,encoding"
